start_classmark,end_classmark,location
G,GF,Top Floor Front Left
HD,HF,Middle Floor
QA,QA,Top Floor Back Right
TK,TK,Top Floor Back Right
PE,PE,Top Floor Front Right
PR,PR,Top Floor Front Right
