subject,classmark
Geography,G
Geography,GA
Geography,GB
Geography,GC
Geography,GD
Geography,GE
Geography,GF
Environmental Studies,GE
Environmental Studies,GF
English Language,PE
English Literature,PR
Computing,QA
Computing,TK
Business,HD
Business,HE
Business,HF
Human Resource Management,HD
Human Resource Management,HE
Human Resource Management,HF
